symbol,sector,industry,country,shares_outstanding
A,Health Care,Life Sciences Tools & Services,United States of America,285193011
AA,Materials,Metals & Mining,United States of America,258360908
AADI.O,Health Care,Biotechnology,United States of America,24554205
AAL.O,Industrials,Passenger Airlines,United States of America,657566166
AAMI.K,Financials,Capital Markets,United States of America,41372291
AAOI.O,Information Technology,Communications Equipment,United States of America,38148000
AAON.O,Industrials,Building Products,United States of America,81508381
AAP,Consumer Discretionary,Specialty Retail,United States of America,77349000
AAPL.O,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,15116786000
ABBV.K,Health Care,Biotechnology,United States of America,1831594494
ABCB.K,Financials,Banks,United States of America,72699245
ABCL.O,Health Care,Life Sciences Tools & Services,Canada,290824970
ABL.O,Financials,Insurance,United States of America,63388823
ABLV.O,Communication Services,Media,China,42359233
ABM,Industrials,Commercial Services & Supplies,United States of America,62196665
ABNB.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,623000000
ABP.O,Health Care,Biotechnology,United States of America,50535272
ABSI.O,Health Care,Biotechnology,United States of America,93087675
ABT,Health Care,Health Care Equipment & Supplies,United States of America,1991472630
ABVE.O,Consumer Staples,Food Products,Canada,8518178
ACCO.K,Industrials,Commercial Services & Supplies,United States of America,98131339
ACDC.O,Energy,Energy Equipment & Services,United States of America,159400000
ACEL.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,95016960
ACET.O,Health Care,Biotechnology,United States of America,43270386
ACGL.O,Financials,Insurance,Bermuda,595400000
ACHC.O,Health Care,Health Care Providers & Services,United States of America,91263989
ACHR.K,Industrials,Aerospace & Defense,United States of America,303782956
ACI,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,594445268
ACIC.O,Financials,Insurance,United States of America,46989089
ACIU.O,Health Care,Biotechnology,Switzerland,104441787
ACIW.O,Information Technology,Software,United States of America,140525055
ACLX.O,Health Care,Biotechnology,United States of America,52280077
ACM,Industrials,Construction & Engineering,United States of America,132552407
ACMR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,61057983
ACN,Information Technology,IT Services,Ireland; Republic of,672524852
ACNB.O,Financials,Banks,United States of America,8945293
ACNT.O,Materials,Metals & Mining,United States of America,11085103
ACRV.O,Health Care,Biotechnology,United States of America,22522644
ACTG.O,Financials,Financial Services,United States of America,116079176
ACTU.O,Health Care,Biotechnology,United States of America,19111636
ACVA.O,Industrials,Commercial Services & Supplies,United States of America,168028916
ACXP.O,Health Care,Biotechnology,United States of America,14468229
ADBE.O,Information Technology,Software,United States of America,601000000
ADCT.K,Health Care,Biotechnology,Switzerland,89041946
ADEA.O,Information Technology,Software,United States of America,123952000
ADGM.O,Health Care,Health Care Equipment & Supplies,United States of America,7927331
ADI.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,496296854
ADMA.O,Health Care,Biotechnology,United States of America,226063032
ADNT.K,Consumer Discretionary,Automobile Components,Ireland; Republic of,84866763
ADP.O,Industrials,Professional Services,United States of America,638700000
ADPT.O,Health Care,Life Sciences Tools & Services,United States of America,147773744
ADSK.O,Information Technology,Software,United States of America,214000000
ADT,Consumer Discretionary,Diversified Consumer Services,United States of America,922176862
ADTN.O,Information Technology,Communications Equipment,United States of America,78971000
ADUR.O,Information Technology,Software,Canada,21759066
ADUS.O,Health Care,Health Care Providers & Services,United States of America,16227000
ADV.O,Communication Services,Media,United States of America,322235261
ADVM.O,Health Care,Biotechnology,United States of America,10143300
AEHR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,28995000
AEIS.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,37711000
AENT.O,Consumer Discretionary,Distributors,United States of America,50957370
AEO,Consumer Discretionary,Specialty Retail,United States of America,249566000
AEON.K,Health Care,Biotechnology,United States of America,516105
AEP.O,Utilities,Electric Utilities,United States of America,534094530
AER,Industrials,Trading Companies & Distributors,Ireland; Republic of,215543739
AERT.O,Industrials,Professional Services,Cayman Islands,15619004
AES,Utilities,Independent Power and Renewable Electricity Producers,United States of America,819051591
